frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,013_detected,013_tl_x,013_tl_y,013_br_x,013_br_y,gaze_on_013,014_detected,014_tl_x,014_tl_y,014_br_x,014_br_y,gaze_on_014,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
13316,07:21.985,504.0,805.0,,,,2,True,True,936,653,1027,831,False,False,,,,,False,True,487,733,672,1010,True
13331,07:22.483,618.0,910.0,114.0,105.0,154.9870962370739,2,True,True,931,660,1023,833,False,False,,,,,False,True,499,817,679,1060,True
13346,07:22.981,554.0,903.0,-64.0,-7.0,64.38167441127949,2,True,True,936,650,1026,826,False,False,,,,,False,True,505,811,683,1053,True
13361,07:23.479,510.0,824.0,-44.0,-79.0,90.4267659490264,2,True,True,927,622,1022,802,False,False,,,,,False,True,495,765,675,1019,True
13376,07:23.976,614.0,873.0,104.0,49.0,114.96521212958292,2,True,True,1021,686,1109,859,False,False,,,,,False,True,598,819,770,1067,True
13391,07:24.474,734.0,924.0,120.0,51.0,130.3878828726044,2,True,True,1089,661,1176,841,False,False,,,,,False,True,677,782,846,1037,True
13406,07:24.972,681.0,851.0,-53.0,-73.0,90.2108640907513,2,True,True,1091,677,1178,851,False,False,,,,,False,True,680,758,850,1031,True
13421,07:25.470,675.0,849.0,-6.0,-2.0,6.324555320336759,2,True,True,1085,666,1174,844,False,False,,,,,False,True,674,760,842,1029,True
13436,07:25.968,662.0,845.0,-13.0,-4.0,13.601470508735444,2,True,True,1077,665,1166,838,False,False,,,,,False,True,662,762,833,1022,True
13451,07:26.466,764.0,769.0,102.0,-76.0,127.20062892926278,2,True,True,1067,652,1154,833,False,False,,,,,False,True,650,736,821,1004,True
13466,07:26.964,683.0,793.0,-81.0,24.0,84.48076704197234,2,True,True,1060,655,1145,833,False,False,,,,,False,True,638,733,808,1005,True
13481,07:27.462,675.0,805.0,-8.0,12.0,14.422205101855958,2,True,True,1052,657,1136,838,False,False,,,,,False,True,632,740,798,1010,True
13496,07:27.960,692.0,860.0,17.0,55.0,57.56735185849702,2,True,True,1047,657,1137,835,False,False,,,,,False,True,626,739,795,1010,True
13511,07:28.457,746.0,866.0,54.0,6.0,54.3323108288245,2,True,True,1039,660,1128,845,False,False,,,,,False,True,613,752,784,1021,True
