frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
12788,06:56.999,1,2159.0,629.0,2294.0,796.0,,,,,,,,
12803,06:57.488,1,2231.0,615.0,2368.0,779.0,,,,,,,,
12818,06:57.977,0,,,,,,,,,,,,
12833,06:58.466,0,,,,,,,,,,,,
12848,06:58.956,0,,,,,,,,,,,,
12863,06:59.445,0,,,,,,,,,,,,
12878,06:59.934,0,,,,,,,,,,,,
12893,07:00.423,0,,,,,,,,,,,,
12908,07:00.912,0,,,,,,,,,,,,
12923,07:01.401,0,,,,,,,,,,,,
12938,07:01.890,0,,,,,,,,,,,,
12953,07:02.379,0,,,,,,,,,,,,
12968,07:02.869,1,271.0,681.0,480.0,973.0,,,,,,,,
12983,07:03.358,1,518.0,697.0,698.0,976.0,,,,,,,,
12998,07:03.847,0,,,,,,,,,,,,
13013,07:04.336,1,2032.0,570.0,2159.0,730.0,,,,,,,,
13028,07:04.825,1,2171.0,525.0,2310.0,692.0,,,,,,,,
13043,07:05.314,1,2308.0,461.0,2438.0,636.0,,,,,,,,
13058,07:05.803,0,,,,,,,,,,,,
13073,07:06.292,1,2272.0,406.0,2407.0,580.0,,,,,,,,
13088,07:06.782,1,2266.0,404.0,2401.0,579.0,,,,,,,,
13103,07:07.271,1,2272.0,413.0,2407.0,587.0,,,,,,,,
13118,07:07.760,1,2278.0,414.0,2413.0,587.0,,,,,,,,
13133,07:08.249,1,2299.0,423.0,2421.0,591.0,,,,,,,,
13148,07:08.738,1,2314.0,429.0,2445.0,603.0,,,,,,,,
13163,07:09.227,0,,,,,,,,,,,,
13178,07:09.716,0,,,,,,,,,,,,
13193,07:10.206,0,,,,,,,,,,,,
13208,07:10.695,0,,,,,,,,,,,,
13223,07:11.184,0,,,,,,,,,,,,
13238,07:11.673,0,,,,,,,,,,,,
13253,07:12.162,0,,,,,,,,,,,,
13268,07:12.651,0,,,,,,,,,,,,
13283,07:13.140,0,,,,,,,,,,,,
13298,07:13.629,0,,,,,,,,,,,,
13313,07:14.119,0,,,,,,,,,,,,
13328,07:14.608,0,,,,,,,,,,,,
13343,07:15.097,0,,,,,,,,,,,,
13358,07:15.586,0,,,,,,,,,,,,
13373,07:16.075,0,,,,,,,,,,,,
13388,07:16.564,0,,,,,,,,,,,,
13403,07:17.053,0,,,,,,,,,,,,
13418,07:17.542,0,,,,,,,,,,,,
13433,07:18.032,0,,,,,,,,,,,,
13448,07:18.521,0,,,,,,,,,,,,
13463,07:19.010,0,,,,,,,,,,,,
13478,07:19.499,0,,,,,,,,,,,,
13493,07:19.988,0,,,,,,,,,,,,
13508,07:20.477,0,,,,,,,,,,,,
13523,07:20.966,0,,,,,,,,,,,,
13538,07:21.456,0,,,,,,,,,,,,
13553,07:21.945,0,,,,,,,,,,,,
13568,07:22.434,0,,,,,,,,,,,,
13583,07:22.923,0,,,,,,,,,,,,
13598,07:23.412,0,,,,,,,,,,,,
13613,07:23.901,0,,,,,,,,,,,,
13628,07:24.390,0,,,,,,,,,,,,
13643,07:24.879,0,,,,,,,,,,,,
