frame,time,016_in_frame,016_x1,016_y1,016_x2,016_y2,016_pct,017_in_frame,017_x1,017_y1,017_x2,017_y2,017_pct,018_in_frame,018_x1,018_y1,018_x2,018_y2,018_pct
11869,06:24,True,1733,645,1903,876,0.99,True,662,696,827,926,0.95,False,,,,,
11899,06:25,True,1680,626,1842,855,0.93,True,620,693,791,923,0.99,False,,,,,
11929,06:26,True,1681,630,1842,864,0.95,True,622,700,794,930,0.99,False,,,,,
11959,06:27,True,1692,637,1858,868,0.96,True,634,711,804,944,0.99,False,,,,,
11989,06:28,True,1734,621,1904,866,1.05,True,646,701,816,930,0.98,False,,,,,
12019,06:29,True,1737,628,1901,868,0.99,True,635,701,805,934,0.99,False,,,,,
12049,06:30,True,1711,658,1870,891,0.93,True,605,702,776,937,1.01,False,,,,,
12079,06:31,True,1737,674,1901,912,0.98,True,654,716,820,950,0.98,False,,,,,
12109,06:32,True,1767,677,1922,914,0.92,True,707,707,855,942,0.87,False,,,,,
12139,06:33,True,1771,685,1924,918,0.89,True,706,705,854,940,0.87,False,,,,,
12169,06:34,True,1754,671,1912,908,0.94,True,703,708,851,941,0.87,False,,,,,
12199,06:35,True,1760,702,1908,929,0.84,True,636,737,807,969,1.0,False,,,,,
12229,06:36,True,1780,696,1927,925,0.85,True,633,734,802,963,0.97,False,,,,,
12259,06:37,True,1734,578,1909,814,1.04,True,637,610,806,838,0.97,False,,,,,
12289,06:38,True,1720,702,1890,935,0.99,True,635,735,804,962,0.96,False,,,,,
12319,06:39,True,1809,703,1989,941,1.08,True,725,738,888,968,0.94,False,,,,,
12349,06:40,True,1826,710,2005,951,1.08,True,702,740,854,966,0.86,False,,,,,
12379,06:41,True,1852,650,2034,894,1.11,True,714,713,858,934,0.8,False,,,,,
12409,06:42,True,1836,637,2017,881,1.11,True,733,693,896,913,0.9,False,,,,,
12439,06:43,True,1820,669,2002,911,1.11,True,741,709,905,939,0.95,False,,,,,
12469,06:44,True,1785,660,1963,901,1.08,True,709,714,873,946,0.96,False,,,,,
12499,06:45,True,1792,735,1968,973,1.05,True,716,756,880,989,0.96,False,,,,,
12529,06:46,True,1742,679,1913,912,1.0,True,667,674,833,902,0.95,False,,,,,
12559,06:47,True,1719,681,1891,920,1.03,True,639,699,807,931,0.98,False,,,,,
12589,06:48,True,1725,691,1896,929,1.02,True,647,706,814,939,0.98,False,,,,,
12619,06:49,True,1704,685,1876,920,1.01,True,624,715,796,949,1.01,False,,,,,
12649,06:50,True,1724,669,1895,906,1.02,True,643,700,811,931,0.97,False,,,,,
12679,06:51,True,1740,691,1913,927,1.03,True,658,707,827,950,1.03,False,,,,,
12709,06:52,True,1753,696,1926,927,1.0,True,668,700,835,937,0.99,False,,,,,
12739,06:53,True,1758,728,1933,966,1.05,True,675,742,843,981,1.01,False,,,,,
12769,06:54,True,1747,708,1919,940,1.0,True,667,726,833,958,0.97,False,,,,,
12799,06:55,True,1747,718,1919,948,0.99,True,666,741,833,973,0.97,False,,,,,
12829,06:56,True,1744,716,1917,953,1.03,True,661,735,827,971,0.98,False,,,,,
12859,06:57,True,1745,712,1917,949,1.02,True,661,740,827,974,0.98,False,,,,,
12889,06:58,True,1710,663,1880,898,1.0,True,635,726,804,957,0.98,False,,,,,
12919,06:59,True,1708,683,1876,913,0.97,True,622,736,794,969,1.01,False,,,,,
12949,07:00,True,1721,722,1890,958,1.0,True,631,764,801,999,1.0,False,,,,,
12979,07:00,True,1713,718,1882,952,0.99,True,623,757,795,990,1.01,False,,,,,
13009,07:01,True,1735,718,1905,959,1.03,True,647,770,815,1004,0.99,False,,,,,
13039,07:02,True,1734,739,1906,976,1.02,True,642,783,812,1018,1.0,False,,,,,
13069,07:03,True,1741,729,1911,968,1.02,True,649,772,817,1004,0.98,False,,,,,
13099,07:04,True,1731,718,1900,958,1.02,True,638,763,808,997,1.0,False,,,,,
13129,07:05,True,1679,721,1845,962,1.0,True,579,762,755,1002,1.06,False,,,,,
13159,07:06,True,1686,734,1852,966,0.97,True,547,786,719,1018,1.0,False,,,,,
13189,07:07,True,1737,640,1906,875,1.0,True,677,777,843,1015,0.99,False,,,,,
13219,07:08,True,1449,781,1602,1007,0.87,True,357,909,553,1166,1.26,False,,,,,
13249,07:09,True,1524,661,1688,874,0.88,True,476,936,672,1177,1.19,False,,,,,
13279,07:10,True,1462,704,1619,913,0.82,True,383,954,582,1203,1.24,False,,,,,
13309,07:11,True,1450,702,1605,911,0.81,True,357,904,558,1157,1.28,False,,,,,
13339,07:12,True,1438,718,1592,925,0.8,True,346,915,549,1169,1.29,False,,,,,
13369,07:13,True,1442,718,1596,934,0.84,True,341,924,547,1174,1.29,False,,,,,
13399,07:14,True,1451,714,1608,931,0.86,True,350,913,553,1166,1.29,False,,,,,
13429,07:15,True,1462,717,1612,928,0.79,True,355,903,557,1157,1.29,False,,,,,
13459,07:16,True,1472,706,1623,918,0.8,True,368,883,569,1133,1.26,False,,,,,
13489,07:17,True,1727,681,1895,912,0.97,True,655,821,826,1054,1.0,False,,,,,
13519,07:18,True,1711,698,1876,922,0.93,True,635,836,809,1071,1.03,False,,,,,
13549,07:19,True,1719,698,1884,922,0.93,True,644,833,816,1068,1.01,False,,,,,
13579,07:20,True,1719,715,1884,936,0.92,True,643,844,816,1081,1.03,False,,,,,
13609,07:21,True,1725,713,1890,943,0.95,True,649,856,823,1086,1.0,False,,,,,
13639,07:22,True,1729,706,1896,934,0.96,True,650,838,822,1071,1.01,False,,,,,
13669,07:23,True,1722,709,1889,935,0.95,True,646,839,818,1074,1.01,False,,,,,
13699,07:24,True,1717,705,1882,933,0.94,True,643,836,816,1074,1.03,False,,,,,
13729,07:25,True,1721,700,1888,931,0.97,True,647,833,817,1067,1.0,False,,,,,
13759,07:26,True,1721,681,1889,920,1.01,True,645,832,817,1070,1.03,False,,,,,
13789,07:27,True,1721,692,1888,924,0.97,True,639,840,812,1077,1.03,False,,,,,
13819,07:28,True,1693,540,1862,771,0.98,True,585,578,761,813,1.04,False,,,,,
13849,07:29,True,1668,686,1833,916,0.95,True,568,747,746,986,1.07,False,,,,,
13879,07:30,True,1673,665,1835,898,0.95,True,575,719,750,959,1.05,False,,,,,
13909,07:31,True,1660,697,1822,926,0.93,True,566,742,743,978,1.05,False,,,,,
13939,07:32,True,1672,707,1837,938,0.96,True,582,746,755,981,1.02,False,,,,,
13969,07:33,True,1672,678,1835,910,0.95,True,581,708,753,948,1.04,False,,,,,
13999,07:34,True,1679,725,1843,957,0.96,True,587,749,761,988,1.04,False,,,,,
14029,07:35,True,1686,722,1851,957,0.97,True,594,749,766,988,1.03,False,,,,,
14059,07:36,True,1697,715,1866,948,0.99,True,607,738,779,977,1.03,False,,,,,
14089,07:36,True,1682,719,1847,952,0.97,True,587,751,762,990,1.05,False,,,,,
14119,07:37,True,1675,730,1839,960,0.95,True,583,759,757,995,1.03,False,,,,,
14149,07:38,True,1678,733,1842,964,0.95,True,586,759,759,998,1.04,False,,,,,
14179,07:39,True,1690,751,1856,982,0.96,True,597,768,769,1007,1.03,False,,,,,
14209,07:40,True,1692,747,1859,978,0.97,True,602,762,774,1000,1.03,False,,,,,
14239,07:41,True,1698,752,1864,979,0.95,True,608,779,778,1013,1.0,False,,,,,
14269,07:42,True,1649,713,1813,947,0.96,True,561,751,738,988,1.05,False,,,,,
14299,07:43,True,1684,710,1849,942,0.96,True,598,732,769,972,1.03,False,,,,,
14329,07:44,True,1686,709,1852,944,0.98,True,600,730,771,969,1.03,False,,,,,
14359,07:45,True,1671,709,1835,941,0.96,True,588,721,759,964,1.04,False,,,,,
14389,07:46,True,1749,780,1920,1017,1.02,True,675,811,842,1048,0.99,False,,,,,
14419,07:47,True,1772,698,1944,933,1.01,True,695,764,861,995,0.96,False,,,,,
14449,07:48,True,1739,698,1908,931,0.99,True,659,778,826,1015,0.99,False,,,,,
14479,07:49,True,1634,701,1796,926,0.92,True,551,782,726,1023,1.06,False,,,,,
14509,07:50,True,1655,704,1819,932,0.94,True,579,773,753,1015,1.06,False,,,,,
14539,07:51,True,1672,684,1836,912,0.94,True,592,749,766,989,1.05,False,,,,,
14569,07:52,True,1680,705,1846,937,0.97,True,603,772,777,1008,1.03,False,,,,,
14599,07:53,True,1669,689,1832,918,0.94,True,590,750,765,995,1.08,False,,,,,
14629,07:54,True,1673,693,1837,920,0.93,True,595,754,767,995,1.04,False,,,,,
14659,07:55,True,1674,703,1837,932,0.94,True,600,761,772,1004,1.05,False,,,,,
14689,07:56,True,1681,704,1846,932,0.94,True,606,755,780,993,1.04,False,,,,,
14719,07:57,True,1680,702,1844,931,0.94,True,597,755,767,991,1.01,False,,,,,
14749,07:58,True,1680,690,1845,921,0.96,True,583,743,758,980,1.04,False,,,,,
14779,07:59,True,1678,696,1841,931,0.96,True,603,747,775,986,1.03,False,,,,,
14809,08:00,True,1682,708,1847,938,0.95,True,601,754,770,991,1.01,False,,,,,
14839,08:01,True,1675,699,1839,933,0.96,True,598,752,768,990,1.02,False,,,,,
14869,08:02,True,1677,688,1841,921,0.96,True,600,737,771,977,1.03,False,,,,,
14899,08:03,True,1676,684,1839,917,0.95,True,595,731,766,970,1.03,False,,,,,
14929,08:04,True,1686,697,1852,926,0.95,True,603,733,775,973,1.04,False,,,,,
14959,08:05,True,1706,572,1876,803,0.99,True,625,621,797,849,0.98,False,,,,,
14989,08:06,True,1677,709,1839,939,0.94,True,602,763,772,999,1.01,False,,,,,
15019,08:07,True,1682,709,1848,946,0.99,True,608,761,778,995,1.0,False,,,,,
15049,08:08,True,1690,721,1856,954,0.97,True,618,777,792,1013,1.03,False,,,,,
15079,08:09,True,1687,720,1854,960,1.01,True,612,777,784,1013,1.02,False,,,,,
15109,08:10,True,1687,730,1852,965,0.97,True,615,778,787,1020,1.04,False,,,,,
15139,08:11,True,1680,751,1845,979,0.94,True,609,781,779,1018,1.01,False,,,,,
15169,08:12,True,1694,726,1862,960,0.99,True,619,778,791,1014,1.02,False,,,,,
15199,08:12,True,1699,734,1867,964,0.97,True,625,770,796,1006,1.01,False,,,,,
15229,08:13,True,1699,736,1866,970,0.98,True,622,772,793,1010,1.02,False,,,,,
15259,08:14,True,1695,735,1861,972,0.99,True,618,778,789,1011,1.0,False,,,,,
15289,08:15,True,1696,732,1863,966,0.98,True,622,770,794,1005,1.01,False,,,,,
15319,08:16,True,1691,716,1858,957,1.01,True,618,750,788,979,0.98,False,,,,,
15349,08:17,True,1670,713,1833,943,0.94,True,584,752,758,987,1.03,False,,,,,
