frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y
10218,08:43.333,3,1143.0,922.0,1327.0,1172.0,1641.0,804.0,1802.0,1035.0,645.0,955.0,808.0,1153.0
10219,10:53.980,3,1144.0,923.0,1327.0,1173.0,1641.0,807.0,1802.0,1037.0,646.0,956.0,809.0,1154.0
10220,10:54.013,3,1144.0,924.0,1327.0,1174.0,1641.0,807.0,1802.0,1037.0,646.0,956.0,809.0,1154.0
10221,10:54.038,3,1144.0,924.0,1328.0,1176.0,1640.0,813.0,1800.0,1046.0,647.0,957.0,810.0,1157.0
10222,10:54.080,3,1145.0,926.0,1328.0,1178.0,1640.0,816.0,1798.0,1049.0,647.0,959.0,809.0,1159.0
10223,10:54.113,3,1144.0,928.0,1328.0,1180.0,1639.0,817.0,1797.0,1051.0,646.0,959.0,809.0,1160.0
10224,10:54.147,3,1144.0,929.0,1327.0,1181.0,1638.0,818.0,1796.0,1051.0,646.0,959.0,808.0,1159.0
10225,10:54.180,3,1144.0,929.0,1327.0,1182.0,1637.0,818.0,1795.0,1051.0,645.0,957.0,807.0,1159.0
10226,10:54.213,3,1145.0,929.0,1328.0,1182.0,1636.0,818.0,1795.0,1052.0,645.0,957.0,807.0,1159.0
10227,10:54.247,3,1145.0,929.0,1329.0,1182.0,1636.0,818.0,1796.0,1051.0,645.0,956.0,807.0,1159.0
10228,10:54.280,3,1146.0,930.0,1329.0,1182.0,1636.0,818.0,1796.0,1051.0,645.0,956.0,808.0,1159.0
10229,10:54.313,3,1147.0,930.0,1330.0,1182.0,1636.0,818.0,1796.0,1052.0,646.0,955.0,808.0,1159.0
10230,10:54.347,3,1147.0,933.0,1330.0,1184.0,1635.0,819.0,1796.0,1052.0,645.0,957.0,808.0,1160.0
10231,10:54.380,3,1148.0,933.0,1330.0,1185.0,1634.0,820.0,1795.0,1053.0,645.0,957.0,807.0,1159.0
