frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
15168,13:25.000,1,2311.0,777.0,2435.0,939.0,,,,
15169,16:27.118,1,2310.0,777.0,2435.0,939.0,,,,
15170,16:27.152,1,2310.0,777.0,2433.0,939.0,,,,
15171,16:27.185,1,2310.0,777.0,2432.0,938.0,,,,
15172,16:27.218,1,2310.0,777.0,2432.0,937.0,,,,
15173,16:27.252,1,2310.0,777.0,2433.0,938.0,,,,
15174,16:27.285,1,2310.0,777.0,2434.0,939.0,,,,
15175,16:27.318,1,2310.0,776.0,2436.0,939.0,,,,
15176,16:27.352,1,2311.0,775.0,2435.0,938.0,,,,
15177,16:27.385,1,2310.0,775.0,2435.0,938.0,,,,
15178,16:27.418,1,2310.0,775.0,2433.0,936.0,,,,
15179,16:27.452,1,2309.0,775.0,2433.0,936.0,,,,
15180,16:27.485,1,2309.0,775.0,2433.0,937.0,,,,
15181,16:27.518,1,2310.0,776.0,2434.0,938.0,,,,
15182,16:27.553,1,2310.0,776.0,2435.0,938.0,,,,
15183,16:27.587,1,2312.0,775.0,2437.0,940.0,,,,
15184,16:27.620,1,2312.0,776.0,2438.0,941.0,,,,
15185,16:27.653,1,2310.0,778.0,2436.0,941.0,,,,
15186,16:27.687,1,2310.0,779.0,2435.0,941.0,,,,
15187,16:27.720,1,2310.0,780.0,2433.0,940.0,,,,
15188,16:27.753,1,2310.0,781.0,2432.0,940.0,,,,
15189,16:27.787,1,2310.0,781.0,2432.0,940.0,,,,
15190,16:27.820,1,2310.0,782.0,2430.0,940.0,,,,
15191,16:27.853,1,2310.0,783.0,2429.0,940.0,,,,
15192,16:27.887,1,2310.0,783.0,2429.0,940.0,,,,
15193,16:27.920,1,2310.0,783.0,2430.0,941.0,,,,
15194,16:27.953,1,2310.0,783.0,2431.0,941.0,,,,
15195,16:27.987,1,2310.0,782.0,2433.0,942.0,,,,
15196,16:28.020,1,2310.0,782.0,2432.0,941.0,,,,
15197,16:28.053,1,2309.0,782.0,2429.0,940.0,,,,
15198,16:28.087,1,2308.0,783.0,2427.0,938.0,,,,
15199,16:28.120,1,2308.0,783.0,2426.0,938.0,,,,
15200,16:28.153,1,2309.0,783.0,2426.0,938.0,,,,
15201,16:28.187,1,2310.0,784.0,2428.0,940.0,,,,
15202,16:28.220,1,2309.0,784.0,2427.0,939.0,,,,
15203,16:28.253,1,2308.0,785.0,2427.0,941.0,,,,
15204,16:28.287,1,2301.0,787.0,2421.0,940.0,,,,
15205,16:28.320,1,2285.0,792.0,2408.0,940.0,,,,
15206,16:28.353,1,2246.0,790.0,2377.0,943.0,,,,
15207,16:28.387,1,2184.0,790.0,2318.0,943.0,,,,
15208,16:28.420,1,2115.0,788.0,2243.0,943.0,,,,
15209,16:28.453,1,2045.0,788.0,2167.0,941.0,,,,
15210,16:28.487,1,1983.0,793.0,2100.0,938.0,,,,
15211,16:28.520,1,1927.0,797.0,2039.0,939.0,,,,
15212,16:28.553,1,1879.0,799.0,1989.0,940.0,,,,
15213,16:28.587,1,1834.0,805.0,1941.0,941.0,,,,
15214,16:28.620,1,1796.0,806.0,1901.0,940.0,,,,
15215,16:28.653,1,1758.0,805.0,1861.0,939.0,,,,
15216,16:28.687,1,1725.0,802.0,1826.0,938.0,,,,
