frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
5611,05:06.667,3,1438.0,631.0,1609.0,872.0,2040.0,412.0,2305.0,716.0,980.0,638.0,1112.0,834.0,,,,,,,,
5612,06:08.627,3,1437.0,631.0,1609.0,872.0,2034.0,409.0,2301.0,715.0,979.0,637.0,1112.0,834.0,,,,,,,,
5613,06:08.660,3,1437.0,630.0,1609.0,871.0,2029.0,410.0,2298.0,714.0,979.0,639.0,1111.0,835.0,,,,,,,,
5614,06:08.693,3,1435.0,630.0,1608.0,871.0,2025.0,407.0,2293.0,714.0,978.0,641.0,1109.0,834.0,,,,,,,,
5615,06:08.727,3,1434.0,630.0,1606.0,870.0,2023.0,405.0,2290.0,713.0,976.0,641.0,1107.0,834.0,,,,,,,,
5616,06:08.760,3,1433.0,630.0,1604.0,870.0,2020.0,404.0,2286.0,712.0,974.0,640.0,1105.0,835.0,,,,,,,,
5617,06:08.793,3,1431.0,630.0,1602.0,869.0,2018.0,403.0,2284.0,710.0,971.0,641.0,1103.0,835.0,,,,,,,,
5618,06:08.827,3,1429.0,629.0,1601.0,869.0,2017.0,403.0,2283.0,707.0,970.0,640.0,1102.0,835.0,,,,,,,,
5619,06:08.860,3,1428.0,629.0,1600.0,869.0,2016.0,403.0,2282.0,705.0,968.0,639.0,1101.0,835.0,,,,,,,,
5620,06:08.893,3,1428.0,628.0,1600.0,869.0,2017.0,403.0,2282.0,703.0,968.0,639.0,1101.0,835.0,,,,,,,,
5621,06:08.927,3,1429.0,627.0,1600.0,867.0,2018.0,400.0,2284.0,701.0,968.0,639.0,1101.0,834.0,,,,,,,,
5622,06:08.960,3,1430.0,627.0,1600.0,867.0,2019.0,398.0,2285.0,699.0,968.0,639.0,1101.0,834.0,,,,,,,,
5623,06:08.993,3,1430.0,628.0,1601.0,867.0,2020.0,399.0,2286.0,699.0,968.0,639.0,1101.0,834.0,,,,,,,,
5624,06:09.027,3,1431.0,628.0,1601.0,868.0,2022.0,398.0,2288.0,697.0,969.0,639.0,1101.0,834.0,,,,,,,,
5625,06:09.060,3,1432.0,628.0,1602.0,868.0,2024.0,396.0,2290.0,696.0,969.0,639.0,1102.0,834.0,,,,,,,,
5626,06:09.093,3,1432.0,627.0,1602.0,868.0,2026.0,395.0,2293.0,695.0,970.0,639.0,1102.0,834.0,,,,,,,,
5627,06:09.127,3,1433.0,628.0,1603.0,868.0,2028.0,395.0,2295.0,694.0,970.0,639.0,1103.0,833.0,,,,,,,,
5628,06:09.160,3,1433.0,628.0,1604.0,868.0,2031.0,395.0,2297.0,694.0,971.0,639.0,1103.0,833.0,,,,,,,,
5629,06:09.193,3,1434.0,628.0,1605.0,868.0,2033.0,396.0,2298.0,694.0,972.0,640.0,1104.0,833.0,,,,,,,,
5630,06:09.228,3,2034.0,397.0,2299.0,695.0,1434.0,628.0,1605.0,868.0,973.0,642.0,1104.0,833.0,,,,,,,,
5631,06:09.262,3,1435.0,629.0,1606.0,869.0,2035.0,395.0,2301.0,695.0,973.0,641.0,1105.0,834.0,,,,,,,,
5632,06:09.295,3,1435.0,629.0,1606.0,869.0,2036.0,396.0,2301.0,697.0,974.0,641.0,1105.0,835.0,,,,,,,,
5633,06:09.328,3,1435.0,629.0,1607.0,869.0,2036.0,396.0,2302.0,697.0,974.0,642.0,1105.0,835.0,,,,,,,,
5634,06:09.362,3,1435.0,628.0,1607.0,869.0,2037.0,397.0,2303.0,696.0,973.0,640.0,1105.0,834.0,,,,,,,,
