frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
11575,10:30.000,3,1489.0,605.0,1667.0,860.0,933.0,809.0,1097.0,1025.0,407.0,693.0,565.0,904.0,,,,
11576,12:41.820,3,1486.0,606.0,1664.0,861.0,928.0,808.0,1093.0,1024.0,403.0,696.0,562.0,903.0,,,,
11577,12:41.855,3,1485.0,616.0,1663.0,873.0,927.0,817.0,1093.0,1034.0,402.0,701.0,561.0,910.0,,,,
11578,12:41.888,3,1487.0,632.0,1665.0,884.0,929.0,832.0,1095.0,1049.0,407.0,715.0,564.0,926.0,,,,
11579,12:41.922,3,1493.0,635.0,1673.0,892.0,936.0,842.0,1100.0,1058.0,416.0,723.0,573.0,933.0,,,,
11580,12:41.955,3,1499.0,641.0,1678.0,896.0,942.0,844.0,1107.0,1064.0,422.0,726.0,578.0,937.0,,,,
11581,12:41.988,3,1502.0,649.0,1681.0,902.0,947.0,849.0,1111.0,1072.0,427.0,733.0,585.0,944.0,,,,
11582,12:42.022,3,1505.0,661.0,1682.0,910.0,949.0,861.0,1112.0,1081.0,430.0,745.0,587.0,953.0,,,,
11583,12:42.055,3,1503.0,667.0,1681.0,919.0,949.0,870.0,1112.0,1091.0,428.0,760.0,582.0,963.0,,,,
11584,12:42.088,3,1500.0,684.0,1681.0,934.0,949.0,886.0,1115.0,1107.0,425.0,774.0,582.0,979.0,,,,
11585,12:42.122,3,1500.0,696.0,1680.0,948.0,951.0,900.0,1115.0,1122.0,428.0,793.0,583.0,996.0,,,,
11586,12:42.155,3,1499.0,715.0,1679.0,964.0,952.0,916.0,1117.0,1138.0,430.0,806.0,586.0,1013.0,,,,
11587,12:42.188,3,1503.0,729.0,1681.0,980.0,956.0,935.0,1122.0,1154.0,432.0,819.0,589.0,1029.0,,,,
11588,12:42.222,3,1503.0,746.0,1683.0,997.0,957.0,947.0,1125.0,1171.0,439.0,836.0,593.0,1047.0,,,,
11589,12:42.255,3,1507.0,761.0,1687.0,1011.0,962.0,962.0,1127.0,1185.0,442.0,850.0,595.0,1064.0,,,,
11590,12:42.288,3,1509.0,778.0,1689.0,1029.0,964.0,976.0,1130.0,1201.0,445.0,871.0,599.0,1078.0,,,,
11591,12:42.322,3,1512.0,792.0,1692.0,1041.0,966.0,995.0,1130.0,1216.0,446.0,883.0,601.0,1092.0,,,,
11592,12:42.355,3,1514.0,803.0,1696.0,1054.0,967.0,1007.0,1133.0,1230.0,451.0,893.0,604.0,1104.0,,,,
11593,12:42.388,3,1518.0,814.0,1699.0,1065.0,970.0,1015.0,1137.0,1239.0,455.0,902.0,610.0,1114.0,,,,
11594,12:42.422,3,1524.0,818.0,1705.0,1073.0,976.0,1023.0,1140.0,1246.0,462.0,906.0,615.0,1118.0,,,,
11595,12:42.455,3,1528.0,822.0,1711.0,1075.0,980.0,1028.0,1144.0,1250.0,470.0,912.0,621.0,1121.0,,,,
11596,12:42.488,3,1531.0,822.0,1715.0,1078.0,985.0,1028.0,1150.0,1252.0,476.0,913.0,628.0,1122.0,,,,
11597,12:42.522,3,1535.0,819.0,1718.0,1073.0,989.0,1024.0,1154.0,1249.0,480.0,907.0,632.0,1116.0,,,,
11598,12:42.555,3,1536.0,806.0,1720.0,1063.0,993.0,1016.0,1157.0,1239.0,484.0,897.0,634.0,1107.0,,,,
11599,12:42.588,3,1540.0,801.0,1723.0,1055.0,994.0,1004.0,1158.0,1232.0,485.0,892.0,637.0,1097.0,,,,
11600,12:42.622,3,1542.0,789.0,1724.0,1045.0,997.0,998.0,1160.0,1223.0,488.0,877.0,639.0,1085.0,,,,
11601,12:42.655,3,1541.0,778.0,1725.0,1031.0,999.0,985.0,1161.0,1210.0,489.0,862.0,641.0,1074.0,,,,
11602,12:42.688,3,1543.0,759.0,1726.0,1017.0,999.0,969.0,1163.0,1198.0,490.0,846.0,641.0,1058.0,,,,
11603,12:42.722,3,1545.0,746.0,1726.0,998.0,1002.0,953.0,1165.0,1178.0,490.0,828.0,643.0,1040.0,,,,
11604,12:42.755,3,1548.0,726.0,1731.0,981.0,1007.0,937.0,1168.0,1162.0,495.0,819.0,646.0,1024.0,,,,
11605,12:42.788,3,1549.0,712.0,1734.0,967.0,1008.0,920.0,1170.0,1146.0,498.0,803.0,650.0,1009.0,,,,
11606,12:42.822,3,1553.0,692.0,1737.0,949.0,1011.0,904.0,1172.0,1128.0,502.0,787.0,650.0,992.0,,,,
11607,12:42.855,3,1554.0,680.0,1740.0,933.0,1011.0,889.0,1173.0,1110.0,503.0,768.0,653.0,973.0,,,,
11608,12:42.888,3,1558.0,664.0,1740.0,920.0,1014.0,877.0,1174.0,1097.0,505.0,763.0,655.0,960.0,,,,
11609,12:42.922,3,1561.0,660.0,1742.0,913.0,1014.0,870.0,1176.0,1090.0,511.0,759.0,657.0,954.0,,,,
11610,12:42.955,3,1562.0,660.0,1744.0,909.0,1015.0,863.0,1176.0,1086.0,510.0,747.0,660.0,950.0,,,,
11611,12:42.988,3,1564.0,653.0,1746.0,906.0,1015.0,857.0,1175.0,1080.0,511.0,742.0,660.0,945.0,,,,
11612,12:43.022,3,1565.0,650.0,1745.0,901.0,1016.0,850.0,1175.0,1076.0,513.0,735.0,660.0,939.0,,,,
11613,12:43.055,3,1565.0,646.0,1746.0,897.0,1015.0,847.0,1176.0,1073.0,513.0,732.0,661.0,935.0,,,,
11614,12:43.088,3,1565.0,640.0,1745.0,890.0,1015.0,845.0,1176.0,1068.0,513.0,725.0,661.0,929.0,,,,
