frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y
10443,09:23.333,0,,,,
10444,11:22.742,0,,,,
10445,11:22.775,0,,,,
10446,11:22.808,0,,,,
10447,11:22.842,0,,,,
10448,11:22.875,0,,,,
10449,11:22.908,0,,,,
10450,11:22.942,0,,,,
10451,11:22.975,0,,,,
10452,11:23.008,0,,,,
10453,11:23.042,0,,,,
10454,11:23.075,0,,,,
10455,11:23.108,0,,,,
10456,11:23.142,0,,,,
10457,11:23.175,0,,,,
10458,11:23.208,0,,,,
10459,11:23.242,0,,,,
10460,11:23.275,0,,,,
10461,11:23.308,0,,,,
10462,11:23.342,0,,,,
10463,11:23.375,0,,,,
10464,11:23.408,0,,,,
10465,11:23.442,0,,,,
10466,11:23.475,0,,,,
10467,11:23.508,0,,,,
10468,11:23.542,0,,,,
10469,11:23.575,0,,,,
10470,11:23.608,0,,,,
10471,11:23.642,0,,,,
10472,11:23.675,0,,,,
10473,11:23.708,0,,,,
10474,11:23.742,0,,,,
10475,11:23.775,0,,,,
10476,11:23.808,0,,,,
10477,11:23.842,0,,,,
10478,11:23.875,0,,,,
10479,11:23.908,0,,,,
10480,11:23.942,0,,,,
10481,11:23.975,0,,,,
10482,11:24.008,0,,,,
10483,11:24.042,0,,,,
10484,11:24.075,0,,,,
10485,11:24.108,0,,,,
10486,11:24.142,0,,,,
10487,11:24.175,0,,,,
10488,11:24.208,0,,,,
10489,11:24.242,0,,,,
10490,11:24.275,0,,,,
10491,11:24.308,0,,,,
10492,11:24.342,0,,,,
10493,11:24.375,0,,,,
10494,11:24.408,0,,,,
10495,11:24.442,0,,,,
10496,11:24.475,0,,,,
10497,11:24.508,0,,,,
10498,11:24.542,0,,,,
10499,11:24.575,0,,,,
10500,11:24.608,0,,,,
10501,11:24.642,0,,,,
10502,11:24.675,0,,,,
10503,11:24.708,0,,,,
10504,11:24.742,0,,,,
10505,11:24.775,0,,,,
10506,11:24.808,0,,,,
10507,11:24.842,0,,,,
10508,11:24.875,0,,,,
10509,11:24.908,0,,,,
10510,11:24.942,0,,,,
10511,11:24.975,0,,,,
10512,11:25.008,0,,,,
10513,11:25.042,0,,,,
