Target_Face_Count,Condition,Coefficient_LogOdds,P_Value,Std_Error
Ratio_Zero,Intercept,-2.4223,0.0,0.2312
Ratio_Zero,C(GroupSize)[T.3],-0.2954,0.24715,0.2553
Ratio_Zero,C(GroupSize)[T.4],-0.181,0.45952,0.2447
Ratio_Zero,C(Spatiality)[T.Window],-1.3692,0.0,0.1795
Ratio_Zero,C(Environment)[T.VR],0.6144,0.00059,0.1789
Ratio_Partial,Intercept,-1.1328,0.0,0.2191
Ratio_Partial,C(GroupSize)[T.4],1.0418,0.0,0.2
Ratio_Partial,C(Spatiality)[T.Window],-2.3943,0.0,0.1983
Ratio_Partial,C(Environment)[T.VR],0.4763,0.01594,0.1976
Ratio_Full,Intercept,-0.6037,0.0088,0.2304
Ratio_Full,C(GroupSize)[T.3],-0.9496,0.00019,0.2542
Ratio_Full,C(GroupSize)[T.4],-2.6587,0.0,0.244
Ratio_Full,C(Spatiality)[T.Window],2.413,0.0,0.1789
Ratio_Full,C(Environment)[T.VR],-0.1015,0.56911,0.1783
Ratio_SelfView,Intercept,-7.0839,0.0,0.2752
Ratio_SelfView,C(GroupSize)[T.3],-1.47,0.0,0.2918
Ratio_SelfView,C(GroupSize)[T.4],-2.2172,0.0,0.2933
Ratio_SelfView,C(Spatiality)[T.Window],4.7833,0.0,0.2442
Ratio_SelfView,C(Environment)[T.VR],0.3589,0.09867,0.2173
