participant_num,group_num,start_time,end_time
001,1,19:46,40:48
002,1,17:10,38:12
004,1,09:21,30:23
005,2,14:21,29:30
007,2,12:10,27:19
008,3,1:47,31:53
009,3,10:16,41:03
010,3,7:49,39:33
011,3,4:12,35:56
013,4,0:23,22:30
014,4,7:22,29:03
016,5,4:37,26:47
017,5,9:16,31:12
018,5,6:25,28:26
019,6,3:18,25:19
020,6,5:53,27:55
021,6,9:23,31:25
022,7,9:23,32:54
023,7,5:14,28:48
024,7,7:14,30:39
025,7,13:17,36:50
026,8,6:01,29:27
027,8,8:41,32:10
028,8,12:05,35:29
029,9,3:03,26:39
030,9,7:53,31:28
031,9,7:39,31:20
032,9,10:55,34:30
033,10,3:21,28:40
034,10,3:04,28:16
035,10,8:53,34:13
036,10,12:06,37:17
037,11,4:16,11:20
038,11,7:06,33:51
039,12,3:57,26:56
040,12,6:53,29:53
041,12,8:32,31:40
042,13,3:40,25:54
043,13,5:19,27:34
044,13,8:03,30:30
045,14,8:13,31:30
046,14,15:57,39:10
047,14,19:24,42:02
048,14,13:00,36:20
049,15,5:56,20:10
050,15,9:27,31:18
051,16,1:46,24:35
052,16,7:50,29:18
053,17,3:02,24:45
054,17,6:34,28:22
055,18,3:51,25:37
056,18,6:34,28:16
057,19,7:51,32:28
058,19,9:27,34:11
059,19,12:10,36:54
060,19,3:44,28:30
061,20,2:59,24:50
062,20,4:27,26:15
063,21,4:54,35:23
064,21,8:09,32:00
065,21,13:47,37:30
066,22,0:58,33:19
067,22,3:04,35:30
068,22,9:26,41:50
069,22,6:18,34:39
070,23,4:39,27:39
071,23,7:04,30:05
072,23,10:20,33:27
073,23,13:33,36:50
074,24,2:44,24:40
075,24,5:04,30:10
076,24,8:30,30:10
077,25,3:35,24:43
078,25,5:31,26:46
079,25,9:57,31:01
080,26,2:05,22:39
081,26,4:51,25:28
082,27,6:36,30:05
083,27,8:29,32:27
084,27,12:22,36:29
085,28,4:15,25:25
086,28,6:10,27:30
087,28,9:03,30:17
088,29,1:02,21:08
089,29,3:11,23:24
090,30,4:04,24:52
091,30,6:36,27:29
092,31,4:26,27:19
093,31,5:10,28:20
094,31,8:42,33:43
095,31,12:33,35:49
100,33,7:12,30:09
101,33,9:11,31:57
103,34,2:19,30:40
104,34,4:53,33:45
105,34,7:23,36:00
106,34,17:31,38:43
107,35,5:13,30:24
108,35,10:51,35:59
109,35,7:31,32:33
110,35,13:45,38:49
111,36,5:10,27:57
112,36,8:01,30:50
113,36,2:48,25:26
114,36,5:21,28:18
115,37,2:10,23:19
116,37,4:22,25:29
117,37,6:13,27:40
118,38,12:27,35:39
119,38,4:03,27:10
120,38,13:46,37:07
121,38,10:15,33:13
122,39,6:28,28:53
123,39,8:29,30:48
124,39,10:43,33:15
125,40,2:07,25:27
126,40,8:34,31:55
127,40,5:43,29:00
128,41,2:27,23:38
129,41,2:20,23:31
130,42,2:50,23:20
131,42,4:51,25:21
132,43,4:09,25:55
133,43,6:39,28:25
134,43,5:39,27:25
135,44,5:02,27:25
136,44,7:17,29:39
137,44,4:03,26:26
138,44,6:57,29:19
139,45,1:27,21:27
140,45,5:38,25:38
141,46,3:45,25:10
142,46,6:19,27:44
143,46,8:18,29:43
